ticker,date,open,high,low,close,volume,vwap,adjusted,provider,source_ts,available_at
AAA,2026-05-01,91,95,90,94,500000,93,true,sample,2026-05-01T20:00:00Z,2026-05-01T21:00:00Z
AAA,2026-05-04,94,99,93,98,700000,97,true,sample,2026-05-04T20:00:00Z,2026-05-04T21:00:00Z
AAA,2026-05-05,98,101,97,100,800000,99,true,sample,2026-05-05T20:00:00Z,2026-05-05T21:00:00Z
AAA,2026-05-06,100,103,99,102,850000,101,true,sample,2026-05-06T20:00:00Z,2026-05-06T21:00:00Z
AAA,2026-05-07,102,106,101,105,1100000,104,true,sample,2026-05-07T20:00:00Z,2026-05-07T21:00:00Z
AAA,2026-05-08,105,110,104,109,1500000,108,true,sample,2026-05-08T20:00:00Z,2026-05-08T21:00:00Z
BBB,2026-05-01,40,41,39,40,350000,40,true,sample,2026-05-01T20:00:00Z,2026-05-01T21:00:00Z
BBB,2026-05-04,40,41,39,40,340000,40,true,sample,2026-05-04T20:00:00Z,2026-05-04T21:00:00Z
BBB,2026-05-05,40,42,40,41,450000,41,true,sample,2026-05-05T20:00:00Z,2026-05-05T21:00:00Z
BBB,2026-05-06,41,42,40,41,420000,41,true,sample,2026-05-06T20:00:00Z,2026-05-06T21:00:00Z
BBB,2026-05-07,41,42,40,41,410000,41,true,sample,2026-05-07T20:00:00Z,2026-05-07T21:00:00Z
BBB,2026-05-08,41,42,40,41,430000,41,true,sample,2026-05-08T20:00:00Z,2026-05-08T21:00:00Z
CCC,2026-05-01,8,8.5,7.8,8.1,250000,8.1,true,sample,2026-05-01T20:00:00Z,2026-05-01T21:00:00Z
CCC,2026-05-04,8.1,8.3,7.9,8.0,180000,8.0,true,sample,2026-05-04T20:00:00Z,2026-05-04T21:00:00Z
CCC,2026-05-05,8.0,8.2,7.8,8.0,160000,8.0,true,sample,2026-05-05T20:00:00Z,2026-05-05T21:00:00Z
CCC,2026-05-06,8.0,8.1,7.7,7.9,150000,7.9,true,sample,2026-05-06T20:00:00Z,2026-05-06T21:00:00Z
CCC,2026-05-07,7.9,8.0,7.6,7.8,140000,7.8,true,sample,2026-05-07T20:00:00Z,2026-05-07T21:00:00Z
CCC,2026-05-08,7.8,7.9,7.5,7.6,130000,7.6,true,sample,2026-05-08T20:00:00Z,2026-05-08T21:00:00Z
SPY,2026-05-01,500,505,499,504,70000000,503,true,sample,2026-05-01T20:00:00Z,2026-05-01T21:00:00Z
SPY,2026-05-04,504,508,503,507,72000000,506,true,sample,2026-05-04T20:00:00Z,2026-05-04T21:00:00Z
SPY,2026-05-05,507,509,505,506,71000000,507,true,sample,2026-05-05T20:00:00Z,2026-05-05T21:00:00Z
SPY,2026-05-06,506,510,505,509,73000000,508,true,sample,2026-05-06T20:00:00Z,2026-05-06T21:00:00Z
SPY,2026-05-07,509,511,507,510,74000000,509,true,sample,2026-05-07T20:00:00Z,2026-05-07T21:00:00Z
SPY,2026-05-08,510,513,509,512,76000000,512,true,sample,2026-05-08T20:00:00Z,2026-05-08T21:00:00Z
XLK,2026-05-01,200,203,199,202,10000000,202,true,sample,2026-05-01T20:00:00Z,2026-05-01T21:00:00Z
XLK,2026-05-04,202,206,201,205,11000000,204,true,sample,2026-05-04T20:00:00Z,2026-05-04T21:00:00Z
XLK,2026-05-05,205,207,204,206,10500000,206,true,sample,2026-05-05T20:00:00Z,2026-05-05T21:00:00Z
XLK,2026-05-06,206,210,205,209,12000000,208,true,sample,2026-05-06T20:00:00Z,2026-05-06T21:00:00Z
XLK,2026-05-07,209,212,208,211,13000000,211,true,sample,2026-05-07T20:00:00Z,2026-05-07T21:00:00Z
XLK,2026-05-08,211,216,210,215,14000000,214,true,sample,2026-05-08T20:00:00Z,2026-05-08T21:00:00Z
XLI,2026-05-01,120,121,119,120,9000000,120,true,sample,2026-05-01T20:00:00Z,2026-05-01T21:00:00Z
XLI,2026-05-04,120,122,119,121,9200000,121,true,sample,2026-05-04T20:00:00Z,2026-05-04T21:00:00Z
XLI,2026-05-05,121,122,120,121,9100000,121,true,sample,2026-05-05T20:00:00Z,2026-05-05T21:00:00Z
XLI,2026-05-06,121,123,120,122,9300000,122,true,sample,2026-05-06T20:00:00Z,2026-05-06T21:00:00Z
XLI,2026-05-07,122,123,121,122,9400000,122,true,sample,2026-05-07T20:00:00Z,2026-05-07T21:00:00Z
XLI,2026-05-08,122,124,121,123,9500000,123,true,sample,2026-05-08T20:00:00Z,2026-05-08T21:00:00Z
